# Calibrator v0.9e
# (by Stefan.Manegold@cwi.nl, http://www.cwi.nl/~manegold/)
000192.0 00048  016 000012288 000008.1 000288 002.9 000.0  008 000024576 000004.1 000296 003.0 000.0
000256.0 00064  016 000016384 000006.1 000296 003.0 000.0  008 000032768 000003.1 000283 002.8 000.0
000320.0 00080  016 000020480 000004.9 000286 002.9 000.0  008 000040960 000002.4 000297 003.0 000.0
000384.0 00096  016 000024576 000004.1 000299 003.0 000.0  008 000049152 000002.0 000286 002.9 000.0
000512.0 00128  016 000032768 000003.1 000301 003.0 000.0  008 000065536 000001.5 000297 003.0 000.0
000640.0 00160  016 000040960 000002.4 000287 002.9 000.0  008 000081920 000001.2 000296 003.0 000.0
000768.0 00192  016 000049152 000002.0 000303 003.0 000.0  008 000098304 000001.0 000289 002.9 000.0
001024.0 00256  016 000065536 000001.5 000272 002.7 000.0  008 000131072 000000.8 000296 003.0 000.0
001280.0 00320  016 000081920 000001.2 000294 002.9 000.0  008 000163840 000000.6 000296 003.0 000.0
001536.0 00384  016 000098304 000001.0 000303 003.0 000.0  008 000196608 000000.5 000269 002.7 000.0
002048.0 00512  016 000131072 000000.8 000312 003.1 000.0  008 000262144 000000.4 000295 003.0 000.0
002560.0 00640  016 000163840 000000.6 000297 003.0 000.0  008 000327680 000000.3 000302 003.0 000.0
003072.0 00768  016 000196608 000000.5 000299 003.0 000.0  008 000393216 000000.3 000303 003.0 000.0
004096.0 01024  016 000262144 000000.4 000300 003.0 000.0  008 000524288 000000.2 000283 002.8 000.0
005120.0 01280  016 000327680 000000.3 000286 002.9 000.0  008 000655360 000000.2 000291 002.9 000.0
006144.0 01536  016 000393216 000000.3 000308 003.1 000.0  008 000786432 000000.1 000304 003.0 000.0
008192.0 02048  016 000524288 000000.2 000308 003.1 000.0  008 001048576 000000.1 000302 003.0 000.0
010240.0 02560  016 000655360 000000.2 000321 003.2 000.0  008 001310720 000000.1 000298 003.0 000.0
012288.0 03072  016 000786432 000000.1 000314 003.1 000.0  008 001572864 000000.1 000291 002.9 000.0
016384.0 04096  016 001048576 000000.1 000319 003.2 000.0  008 002097152 000000.0 000315 003.1 000.0
020480.0 05120  016 001310720 000000.1 000317 003.2 000.0  008 002621440 000000.0 000305 003.0 000.0
024576.0 06144  016 001572864 000000.1 000317 003.2 000.0  008 003145728 000000.0 000312 003.1 000.0
032768.0 08192  016 002097152 000000.0 000321 003.2 000.0  008 004194304 000000.0 000311 003.1 000.0
040960.0 10240  016 002621440 000000.0 000317 003.2 000.0  008 005242880 000000.0 000315 003.1 000.0
049152.0 12288  016 003145728 000000.0 000324 003.2 000.0  008 006291456 000000.0 000291 002.9 000.0
065536.0 16384  016 004194304 000000.0 000315 003.1 000.0  008 008388608 000000.0 000304 003.0 000.0
081920.0 20480  016 005242880 000000.0 000302 003.0 000.0  008 010485760 000000.0 000309 003.1 000.0
098304.0 24576  016 006291456 000000.0 000315 003.1 000.0  008 012582912 000000.0 000307 003.1 000.0
131072.0 32768  016 008388608 000000.0 000308 003.1 000.0  008 016777216 000000.0 000307 003.1 000.0
163840.0 40960  016 010485760 000000.0 000323 003.2 000.0  008 020971520 000000.0 000292 002.9 000.0
196608.0 49152  016 012582912 000000.0 000308 003.1 000.0  008 025165824 000000.0 000295 003.0 000.0
262144.0 65536  016 016777216 000000.0 000306 003.1 000.0  008 033554432 000000.0 000309 003.1 000.0
327680.0 81920  016 020971520 000000.0 000304 003.0 000.0  008 041943040 000000.0 000295 003.0 000.0
393216.0 98304  016 025165824 000000.0 000317 003.2 000.0  008 050331648 000000.0 000290 002.9 000.0
524288.0 131072  016 033554432 000000.0 000303 003.0 000.0  008 067108864 000000.0 000280 002.8 000.0
655360.0 163840  016 041943040 000000.0 000309 003.1 000.0  008 083886080 000000.0 000302 003.0 000.0
786432.0 196608  016 050331648 000000.0 000313 003.1 000.0  008 100663296 000000.0 000308 003.1 000.0
1048576.0 262144  016 067108864 000000.0 000317 003.2 000.0  008 134217728 000000.0 000299 003.0 000.0
1310720.0 327680  016 083886080 000000.0 000303 003.0 000.0  008 167772160 000000.0 000294 002.9 000.0
