# Calibrator v0.9e
# (by Stefan.Manegold@cwi.nl, http://www.cwi.nl/~manegold/)
002048.0 00512  016 000131072 000000.8 006032 060.3 000.1  008 000262144 000000.4 005714 057.1 000.1
002560.0 00640  016 000163840 000000.6 006780 067.8 000.1  008 000327680 000000.3 006451 064.5 000.1
003072.0 00768  016 000196608 000000.5 006154 061.5 000.1  008 000393216 000000.3 006299 063.0 000.1
004096.0 01024  016 000262144 000000.4 006227 062.3 000.1  008 000524288 000000.2 006315 063.1 000.1
005120.0 01280  016 000327680 000000.3 006235 062.4 000.1  008 000655360 000000.2 006143 061.4 000.1
006144.0 01536  016 000393216 000000.3 005976 059.8 000.1  008 000786432 000000.1 006125 061.2 000.1
008192.0 02048  016 000524288 000000.2 006265 062.6 000.1  008 001048576 000000.1 005854 058.5 000.1
010240.0 02560  016 000655360 000000.2 006267 062.7 000.1  008 001310720 000000.1 006202 062.0 000.1
012288.0 03072  016 000786432 000000.1 006438 064.4 000.1  008 001572864 000000.1 005980 059.8 000.1
016384.0 04096  016 001048576 000000.1 006301 063.0 000.1  008 002097152 000000.0 005955 059.5 000.1
020480.0 05120  016 001310720 000000.1 006308 063.1 000.1  008 002621440 000000.0 005929 059.3 000.1
024576.0 06144  016 001572864 000000.1 005993 059.9 000.1  008 003145728 000000.0 006293 062.9 000.1
032768.0 08192  016 002097152 000000.0 006273 062.7 000.1  008 004194304 000000.0 005914 059.1 000.1
040960.0 10240  016 002621440 000000.0 006251 062.5 000.1  008 005242880 000000.0 006568 065.7 000.1
049152.0 12288  016 003145728 000000.0 006279 062.8 000.1  008 006291456 000000.0 005938 059.4 000.1
065536.0 16384  016 004194304 000000.0 005854 058.5 000.1  008 008388608 000000.0 005880 058.8 000.1
081920.0 20480  016 005242880 000000.0 006039 060.4 000.1  008 010485760 000000.0 005875 058.8 000.1
098304.0 24576  016 006291456 000000.0 006222 062.2 000.1  008 012582912 000000.0 006201 062.0 000.1
131072.0 32768  016 008388608 000000.0 006254 062.5 000.1  008 016777216 000000.0 005888 058.9 000.1
163840.0 40960  016 010485760 000000.0 006035 060.4 000.1  008 020971520 000000.0 005918 059.2 000.1
196608.0 49152  016 012582912 000000.0 006020 060.2 000.1  008 025165824 000000.0 006450 064.5 000.1
262144.0 65536  016 016777216 000000.0 006024 060.2 000.1  008 033554432 000000.0 005570 055.7 000.1
327680.0 81920  016 020971520 000000.0 005920 059.2 000.1  008 041943040 000000.0 005897 059.0 000.1
393216.0 98304  016 025165824 000000.0 005906 059.1 000.1  008 050331648 000000.0 005914 059.1 000.1
524288.0 131072  016 033554432 000000.0 005858 058.6 000.1  008 067108864 000000.0 005568 055.7 000.1
655360.0 163840  016 041943040 000000.0 005604 056.0 000.1  008 083886080 000000.0 005899 059.0 000.1
786432.0 196608  016 050331648 000000.0 006061 060.6 000.1  008 100663296 000000.0 005565 055.6 000.1
1048576.0 262144  016 067108864 000000.0 006294 062.9 000.1  008 134217728 000000.0 006111 061.1 000.1
1310720.0 327680  016 083886080 000000.0 005643 056.4 000.1  008 167772160 000000.0 005814 058.1 000.1
